feature_id,fileid,uid,sample_id,collection_date,cec,oc,om,potential_h,ca_k_ratio,ca_mg_ratio,mg_k_ratio,sand,sample_depth_min,p,ca_saturation,base_saturation,al_saturation_without_h,mg_saturation,h_and_al_cation,silt,mg,al_3_cation,ca,k_saturation,clay,k,sample_depth_max,s,clay_s,silt_s,sand_s,clay_p,silt_p,sand_p,ph,field_id,loc_field,field,farm,crop,buffer_ph,soluble_salts,excess_lime,nitrate_direct_2n_kcl,no3_direct_2n_kcl_lbs_acre,kcl_ammonium_direct,ammonium_direct_lbs_acre,p_mehlich_3_icap,zinc,iron,manganese,copper,sodium,boron,hsat,nasat,texture,bdepth,edepth,lon,lat,geom,data_source
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,0_eb701d03-d26c-487e-a83b-6c3753f20ac2,1.0,2021-12-11,7.9,,36.17,,,,,,,,,,,,,,,,,,,,,,4.0,2.5,93.4,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62347903718325 44.1999530754853),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,0_eb701d03-d26c-487e-a83b-6c3753f20ac2,1.0,2021-12-11,7.9,,36.17,,,,,,,,,,,,,,,,,,,,,,4.0,2.5,93.4,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62347903718325 44.1999530754853),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,1_eb701d03-d26c-487e-a83b-6c3753f20ac2,2.0,2021-12-11,8.68,,45.57,,,,,,,,,,,,,,,,,,,,,,4.0,3.9,92.1,-9999.99,-9999.99,-9999.99,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62743669403864 44.1986309215347),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,1_eb701d03-d26c-487e-a83b-6c3753f20ac2,2.0,2021-12-11,8.68,,45.57,,,,,,,,,,,,,,,,,,,,,,4.0,3.9,92.1,-9999.99,-9999.99,-9999.99,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62743669403864 44.1986309215347),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,2_eb701d03-d26c-487e-a83b-6c3753f20ac2,3.0,2021-12-11,5.24,,25.86,,,,,,,,,,,,,,,,,,,,,,3.3,3.8,92.9,-9999.99,-9999.99,-9999.99,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.622090031444239 44.1971512409441),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,2_eb701d03-d26c-487e-a83b-6c3753f20ac2,3.0,2021-12-11,5.24,,25.86,,,,,,,,,,,,,,,,,,,,,,3.3,3.8,92.9,-9999.99,-9999.99,-9999.99,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.622090031444239 44.1971512409441),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,3_eb701d03-d26c-487e-a83b-6c3753f20ac2,4.0,2021-12-11,4.08,,28.08,,,,,,,,,,,,,,,,,,,,,,1.6,2.1,96.3,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.629162283210327 44.1967941484186),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,3_eb701d03-d26c-487e-a83b-6c3753f20ac2,4.0,2021-12-11,4.08,,28.08,,,,,,,,,,,,,,,,,,,,,,1.6,2.1,96.3,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.629162283210327 44.1967941484186),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,4_eb701d03-d26c-487e-a83b-6c3753f20ac2,5.0,2021-12-11,2.98,,27.51,,,,,,,,,,,,,,,,,,,,,,0.7,1.7,97.5,-9999.99,-9999.99,-9999.99,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.619741571604882 44.2007755162638),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,4_eb701d03-d26c-487e-a83b-6c3753f20ac2,5.0,2021-12-11,2.98,,27.51,,,,,,,,,,,,,,,,,,,,,,0.7,1.7,97.5,-9999.99,-9999.99,-9999.99,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.619741571604882 44.2007755162638),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,5_eb701d03-d26c-487e-a83b-6c3753f20ac2,6.0,2021-12-11,6.94,,39.48,,,,,,,,,,,,,,,,,,,,,,2.2,3.1,94.7,-9999.99,-9999.99,-9999.99,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62317507177177 44.2075092359199),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,5_eb701d03-d26c-487e-a83b-6c3753f20ac2,6.0,2021-12-11,6.94,,39.48,,,,,,,,,,,,,,,,,,,,,,2.2,3.1,94.7,-9999.99,-9999.99,-9999.99,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.62317507177177 44.2075092359199),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,6_eb701d03-d26c-487e-a83b-6c3753f20ac2,7.0,2021-12-11,6.56,,43.79,,,,,,,,,,,,,,,,,,,,,,2.5,3.9,93.6,-9999.99,-9999.99,-9999.99,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.626570837540864 44.2014938751863),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,6_eb701d03-d26c-487e-a83b-6c3753f20ac2,7.0,2021-12-11,6.56,,43.79,,,,,,,,,,,,,,,,,,,,,,2.5,3.9,93.6,-9999.99,-9999.99,-9999.99,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.626570837540864 44.2014938751863),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,7_eb701d03-d26c-487e-a83b-6c3753f20ac2,8.0,2021-12-11,6.48,,35.14,,,,,,,,,,,,,,,,,,,,,,3.4,4.4,92.2,-9999.99,-9999.99,-9999.99,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.624817195440895 44.192814555711),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,7_eb701d03-d26c-487e-a83b-6c3753f20ac2,8.0,2021-12-11,6.48,,35.14,,,,,,,,,,,,,,,,,,,,,,3.4,4.4,92.2,-9999.99,-9999.99,-9999.99,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.624817195440895 44.192814555711),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,8_eb701d03-d26c-487e-a83b-6c3753f20ac2,9.0,2021-12-11,4.02,,25.14,,,,,,,,,,,,,,,,,,,,,,1.9,1.7,96.4,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.625542408681614 44.2034171320628),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,8_eb701d03-d26c-487e-a83b-6c3753f20ac2,9.0,2021-12-11,4.02,,25.14,,,,,,,,,,,,,,,,,,,,,,1.9,1.7,96.4,-9999.99,-9999.99,-9999.99,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.625542408681614 44.2034171320628),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,9_eb701d03-d26c-487e-a83b-6c3753f20ac2,10.0,2021-12-11,5.63,,39.32,,,,,,,,,,,,,,,,,,,,,,2.4,2.6,95.0,-9999.99,-9999.99,-9999.99,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.623047371928849 44.1945062956591),geocarta
{0230d6d2-f4ec-454c-ac36-258e27f6d398},eb701d03-d26c-487e-a83b-6c3753f20ac2,9_eb701d03-d26c-487e-a83b-6c3753f20ac2,10.0,2021-12-11,5.63,,39.32,,,,,,,,,,,,,,,,,,,,,,2.4,2.6,95.0,-9999.99,-9999.99,-9999.99,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.623047371928849 44.1945062956591),geocarta
